2340, findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=14.0 to DejaVu Sans (u'/home/bryan/.local/lib/python2.7/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
7573,  0x8659a0b7, -74,  5063, 6.002, 10.456
7625,  0x8659a0b7, -87,  5064, 6.063, 10.402
7685,  0x8659a0b7, -83,  5065, 6.124, 10.352
7749,  0x8659a0b7, -84,  5066, 6.185, 10.347
7813,  0x8659a0b7, -88,  5067, 6.246, 10.448
7877,  0x8659a0b7, -81,  5068, 6.307, 10.669
7941,  0x8659a0b7, -79,  5069, 6.368, 11.194
7993,  0x8659a0b7, -84,  5070, 6.429, 11.703
8053,  0x8659a0b7, -81,  5071, 6.490, 12.164
8117,  0x8659a0b7, -91,  5072, 6.551, 13.798
8181,  0x8659a0b7, -79,  5073, 6.612, 11.850
8245,  0x8659a0b7, -74,  5074, 6.673, 11.186
8293,  0x8659a0b7, -74,  5075, 6.734, 10.533
8357,  0x8659a0b7, -88,  5076, 6.795, 8.800
8421,  0x8659a0b7, -82,  5077, 6.856, 10.153
8485,  0x8659a0b7, -86,  5078, 6.917, 10.191
8549,  0x8659a0b7, -88,  5079, 6.978, 10.317
8599,  0x8659a0b7, -77,  5080, 7.039, 10.377
8662,  0x8659a0b7, -78,  5081, 7.100, 10.411
8726,  0x8659a0b7, -77,  5082, 7.161, 10.422
8790,  0x8659a0b7, -78,  5083, 7.222, 10.383
8854,  0x8659a0b7, -83,  5084, 7.283, 10.320
8918,  0x8659a0b7, -85,  5085, 7.344, 10.238
8966,  0x8659a0b7, -80,  5086, 7.405, 10.189
9030,  0x8659a0b7, -76,  5087, 7.466, 10.283
